Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY
EDIT,1.6052841836231786,0.2539348272006155,0.48435646192944126,7.32825002391142e-05,1.0,1.0,1.6052841836231786
EGRX,1.1069462056228299,0.2520090204871682,0.37479357306559963,7.32825002391142e-05,1.0,1.0,1.1069462056228299
EHC,0.770821079529477,0.3961717000701074,0.14794540807081882,7.32825002391142e-05,1.0,1.0,0.770821079529477
ENDP,1.3095680416033457,0.23971395136399712,0.4187182087174093,7.32825002391142e-05,1.0,1.0,1.3095680416033457
ENSG,0.941756443151436,0.34275130718227903,0.18825143026941227,7.32825002391142e-05,1.0,1.0,0.941756443151436
ENTA,1.2105054918341691,0.32162666466702805,0.2680895117126106,7.32825002391142e-05,1.0,1.0,1.2105054918341691
EPZM,1.5476125613522491,0.26423715177921436,0.41053733068489406,7.32825002391142e-05,1.0,1.0,1.5476125613522491
ESPR,1.5963927698743068,0.2810906935292289,0.48822009882546485,7.32825002391142e-05,1.0,1.0,1.5963927698743068
ESRX,0.951936195946945,0.41997763333468896,0.15271519880828377,7.32825002391142e-05,1.0,1.0,0.951936195946945
EVHC,0.646952249334728,0.20384243403475596,0.2406259345149098,7.32825002391142e-05,1.0,1.0,0.646952249334728
EW,1.0101290299746084,0.43213521340022837,0.17711708170142557,7.32825002391142e-05,1.0,1.0,1.0101290299746084
EXAS,1.8444493745859212,0.33815041075788344,0.4107176131366711,7.32825002391142e-05,1.0,1.0,1.8444493745859212
EXEL,1.6000405125008665,0.31931766162986075,0.3502194534523065,7.32825002391142e-05,1.0,1.0,1.6000405125008665
FGEN,1.851326076081902,0.41307917574057496,0.3454355143810781,7.32825002391142e-05,1.0,1.0,1.851326076081902
FLXN,1.5908863047429385,0.30921221223616646,0.4254883303823564,7.32825002391142e-05,1.0,1.0,1.5908863047429385
FMS,0.7805094618510368,0.4748782690642405,0.12289896839435308,7.32825002391142e-05,1.0,1.0,0.7805094618510368
FOLD,2.155364599624173,0.375041188543515,0.415711997413968,7.32825002391142e-05,1.0,1.0,2.155364599624173
GBT,1.6408278631331106,0.2500279403571958,0.4593904988716316,7.32825002391142e-05,1.0,1.0,1.6408278631331106
GHDX,1.0931852328096103,0.37462623737505446,0.22469733258193136,7.32825002391142e-05,1.0,1.0,1.0931852328096103
GILD,0.9803268754277921,0.469808824439873,0.15305108891511046,7.32825002391142e-05,1.0,1.0,0.9803268754277921
GKOS,1.186901873700062,0.2863752344484452,0.30950970588537047,7.32825002391142e-05,1.0,1.0,1.186901873700062
GLPG,1.1388709580903025,0.3912168699604711,0.22318896572707994,7.32825002391142e-05,1.0,1.0,1.1388709580903025
GLYC,1.5295403312342524,0.2605606560643082,0.4372602297900323,7.32825002391142e-05,1.0,1.0,1.5295403312342524
GMED,0.9286843680070692,0.38334950845253074,0.1648670581731412,7.32825002391142e-05,1.0,1.0,0.9286843680070692
GRFS,0.8104404692343006,0.4232553309869226,0.13580487697605437,7.32825002391142e-05,1.0,1.0,0.8104404692343006
GSK,0.478198205468992,0.3496035233869224,0.10326802988453761,7.32825002391142e-05,1.0,1.0,0.478198205468992
GWPH,0.883389535200383,0.24257369280011154,0.2876293483733307,7.32825002391142e-05,1.0,1.0,0.883389535200383
HAE,1.015686456879493,0.42673074478558415,0.1643510371243373,7.32825002391142e-05,1.0,1.0,1.015686456879493
