Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY
Stock,,,,,,,
ENDP,1.2447782475466336,0.5853740546580902,0.08246952209252169,0.008259150840071637,1.0,1.0,1.2447782475466336
ENSG,0.587423427928762,0.6212179331762903,0.04000094489527542,0.008259150840071637,1.0,1.0,0.587423427928762
ENTA,1.0914910204094461,0.587180309089483,0.05695454854257237,0.008259150840071637,1.0,1.0,1.0914910204094461
EPZM,1.206833238317965,0.5130691936600301,0.0926514639012823,0.008259150840071637,1.0,1.0,1.206833238317965
ESPR,1.3701712045690784,0.6735046511230609,0.09668564797384373,0.008259150840071637,1.0,1.0,1.3701712045690784
ESRX,0.7193286585047535,0.754130742300157,0.031048030800417993,0.008259150840071637,1.0,1.0,0.7193286585047535
EVHC,0.6290593997353596,0.48853318990842776,0.05047682546461538,0.008259150840071637,1.0,1.0,0.6290593997353596
EW,0.9370165413586473,0.8861048748873832,0.032673051976013556,0.008259150840071637,1.0,1.0,0.9370165413586473
EXAS,1.7455034879322946,0.7546709438714796,0.07953074762259127,0.008259150840071637,1.0,1.0,1.7455034879322946
EXEL,1.5582509257052393,0.7808147801250039,0.073336097436368,0.008259150840071637,1.0,1.0,1.5582509257052393
FGEN,1.560173958397241,0.7740295706174746,0.07527526210676959,0.008259150840071637,1.0,1.0,1.560173958397241
FLXN,1.3002006494027571,0.688073048033463,0.08567910363087299,0.008259150840071637,1.0,1.0,1.3002006494027571
FMS,0.5935822235458134,0.7173676858250981,0.02590693583995877,0.008259150840071637,1.0,1.0,0.5935822235458134
FOLD,1.6321194110730801,0.6653101088637663,0.08891921391345706,0.008259150840071637,1.0,1.0,1.6321194110730801
GBT,1.5708238789706255,0.6307489210899823,0.10257626612069674,0.008259150840071637,1.0,1.0,1.5708238789706255
GHDX,1.0346086318139829,0.7555480674111867,0.04850325345684349,0.008259150840071637,1.0,1.0,1.0346086318139829
GILD,0.9435580675409309,0.8750703121969325,0.031166330184460724,0.008259150840071637,1.0,1.0,0.9435580675409309
GKOS,0.9255173910866888,0.6129339429297903,0.06004780760701424,0.008259150840071637,1.0,1.0,0.9255173910866888
GLPG,1.0022536893187501,0.6905179487036254,0.04860803180047066,0.008259150840071637,1.0,1.0,1.0022536893187501
GLYC,1.631924960355787,0.6711699076349308,0.08523294787887593,0.008259150840071637,1.0,1.0,1.631924960355787
GMED,0.8735784707076415,0.8242348035900038,0.03467796777543994,0.008259150840071637,1.0,1.0,0.8735784707076415
GRFS,0.7217298047869083,0.7985588696843662,0.029987563776748903,0.008259150840071637,1.0,1.0,0.7217298047869083
GSK,0.4789716285576964,0.6620250380503674,0.02208705010487825,0.008259150840071637,1.0,1.0,0.4789716285576964
GWPH,0.6848234828524543,0.5446429516709812,0.05689345732419123,0.008259150840071637,1.0,1.0,0.6848234828524543
HAE,0.7111258904473472,0.746563132678452,0.030151430266069503,0.008259150840071637,1.0,1.0,0.7111258904473472
HALO,1.4243020461205624,0.7688275595033248,0.0730630050509493,0.008259150840071637,1.0,1.0,1.4243020461205624
HCA,0.6708507134553644,0.7282382096850176,0.03097727926166536,0.008259150840071637,1.0,1.0,0.6708507134553644
HMSY,0.9057630318379685,0.7297109513329575,0.04096068210176804,0.008259150840071637,1.0,1.0,0.9057630318379685
HOLX,0.7677637083731519,0.7970678383066271,0.02874528659224361,0.008259150840071637,1.0,1.0,0.7677637083731519
