Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY,Return,Index_Return,Idio_Return,Percent_Days
BA,1.1922890588833666,0.6309899144596817,0.21180958473657505,8.135904585925235e-05,1.0,1.0,1.1922890588833666,1.7233399602385684,0.2993375589763141,1.007035293029782,0.9733333333333334
BAC,1.3627829296824223,0.6367562644812552,0.24938100308248884,8.135904585925235e-05,1.0,1.0,1.3627829296824223,1.1944641589779987,0.2993375589763141,0.5586434421698383,0.9733333333333334
BAX,0.9452158309910891,0.588848219529631,0.17886511502600655,8.135904585925235e-05,1.0,1.0,0.9452158309910891,0.4956521739130435,0.2993375589763141,0.16580183528053816,0.9733333333333334
BBT,1.0877564243744535,0.6254681658775401,0.19537884136473646,8.135904585925235e-05,1.0,1.0,1.0877564243744535,0.5803673938002296,0.2993375589763141,0.19218453534317192,0.9733333333333334
BBY,1.038800942170307,0.32691047708229964,0.31751629832958383,8.135904585925235e-05,1.0,1.0,1.038800942170307,1.420790538437597,0.2993375589763141,0.8465895647360504,0.9733333333333334
BDX,0.9104580351110747,0.5620713712162991,0.16781933978537925,8.135904585925235e-05,1.0,1.0,0.9104580351110747,0.3141190198366395,0.2993375589763141,0.032678674767975036,0.9733333333333334
BEN,1.2960968885078197,0.6479383857496248,0.22571423064576623,8.135904585925235e-05,1.0,1.0,1.2960968885078197,-0.04780990552533648,0.2993375589763141,-0.3139694906940459,0.9733333333333334
BHGE,0.8878191594836843,0.3275699626004599,0.32208191322676727,8.135904585925235e-05,1.0,1.0,0.8878191594836843,0.10438542310067933,0.2993375589763141,-0.12749059880043068,0.9733333333333334
BIIB,1.0909455904421588,0.45790372329741597,0.29726625860194245,8.135904585925235e-05,1.0,1.0,1.0909455904421588,-0.026006277377297993,0.2993375589763141,-0.2657753921975321,0.9733333333333334
BK,1.1178587252099106,0.6600459851060286,0.20451897377438874,8.135904585925235e-05,1.0,1.0,1.1178587252099106,0.4960753532182105,0.2993375589763141,0.12097720828041192,0.9733333333333334
BLK,1.3488502031822718,0.7783416461044916,0.20355888616677917,8.135904585925235e-05,1.0,1.0,1.3488502031822718,0.5371903177176665,0.2993375589763141,0.09505089567044767,0.9733333333333334
BLL,0.7613983481182679,0.4635892977183048,0.19583750688228724,8.135904585925235e-05,1.0,1.0,0.7613983481182679,0.11319665030320514,0.2993375589763141,-0.0934254090437252,0.9733333333333334
BMY,0.6778393842636197,0.295187248021625,0.2290326335101559,8.135904585925235e-05,1.0,1.0,0.6778393842636197,-0.2736694677871149,0.2993375589763141,-0.3961851778334261,0.9733333333333334
BSX,1.0692662098071402,0.5926419432848711,0.2219834143652045,8.135904585925235e-05,1.0,1.0,1.0692662098071402,0.23434925864909384,0.2993375589763141,-0.06493760078804756,0.9733333333333334
